Challenge,doc1 ,doc2,doc3,doc4,doc5
Online Product Sales ,https://www.kaggle.com/competitions/online-sales/discussion/2136,https://www.kaggle.com/competitions/online-sales/discussion/10529,https://www.kaggle.com/competitions/online-sales/discussion/1865,https://www.kaggle.com/competitions/online-sales/discussion/2114,https://www.kaggle.com/competitions/online-sales/discussion/12310
Recruit Restaurant Visitor Forecasting,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/46602,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/49129,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/49174,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/49166,https://www.kaggle.com/competitions/recruit-restaurant-visitor-forecasting/discussion/45874
sberbank-russian-housing-market,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/35684,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/32717,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/33887,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/32993,https://www.kaggle.com/competitions/sberbank-russian-housing-market/discussion/33510
ashrae-energy-prediction,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/112872,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/123481,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/124709,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/114345,https://www.kaggle.com/competitions/ashrae-energy-prediction/discussion/122503
M5 Forecasting - Accuracy,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/138881,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/150568,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/163684,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/133834,https://www.kaggle.com/competitions/m5-forecasting-accuracy/discussion/144067
LANL Earthquake Prediction,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/94390,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/80250,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/94407,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/89909,https://www.kaggle.com/competitions/LANL-Earthquake-Prediction/discussion/91298
Optiver Realized Volatility Prediction,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/274970,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/263308,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/279170,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/249523,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/256080
Optiver Realized Volatility Prediction with Missingness,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/274970,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/263308,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/279170,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/249523,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/256080
Optiver Realized Volatility Prediction with Hyperparameter Search,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/274970,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/263308,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/279170,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/249523,https://www.kaggle.com/competitions/optiver-realized-volatility-prediction/discussion/256080
Google Brain - Ventilator Pressure Prediction,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/285256,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/276599,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/285330,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/276138,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/273974
Google Brain - Ventilator Pressure Prediction with Missingness,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/285256,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/276599,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/285330,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/276138,https://www.kaggle.com/competitions/ventilator-pressure-prediction/discussion/273974
AMP-Parkinson's Disease Progression Prediction,https://www.kaggle.com/competitions/amp-parkinsons-disease-progression-prediction/discussion/411398,https://www.kaggle.com/competitions/amp-parkinsons-disease-progression-prediction/discussion/411505,https://www.kaggle.com/competitions/amp-parkinsons-disease-progression-prediction/discussion/411388,https://www.kaggle.com/competitions/amp-parkinsons-disease-progression-prediction/discussion/388550,https://www.kaggle.com/competitions/amp-parkinsons-disease-progression-prediction/discussion/388521
G2Net Gravitational Wave Detection,https://www.kaggle.com/competitions/g2net-gravitational-wave-detection/discussion/261721,https://www.kaggle.com/competitions/g2net-gravitational-wave-detection/discussion/275476,https://www.kaggle.com/competitions/g2net-gravitational-wave-detection/discussion/275341,https://www.kaggle.com/competitions/g2net-gravitational-wave-detection/discussion/249993#1561215,https://www.kaggle.com/competitions/g2net-gravitational-wave-detection/discussion/250278
Child Mind Institute-- Detect Sleep States,https://www.kaggle.com/competitions/child-mind-institute-detect-sleep-states/discussion/452940,https://www.kaggle.com/competitions/child-mind-institute-detect-sleep-states/discussion/459596,https://www.kaggle.com/competitions/child-mind-institute-detect-sleep-states/discussion/459627,https://www.kaggle.com/competitions/child-mind-institute-detect-sleep-states/discussion/459715,https://www.kaggle.com/competitions/child-mind-institute-detect-sleep-states/discussion/437274
HMS - Harmful Brain Activity Classification,https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification/discussion/468010,https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification/discussion/469760,https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification/discussion/488083,https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification/discussion/471666,https://www.kaggle.com/competitions/hms-harmful-brain-activity-classification/discussion/472976
PTB-XL ECG Classification,https://physionet.org/content/ptb-xl/1.0.3/,,,,
PTB-XL ECG Classification with Hyperparameter Search,https://physionet.org/content/ptb-xl/1.0.3/,,,,
MIT-BIH Arrhythmia Detection,https://www.physionet.org/content/mitdb/1.0.0/,,,,
MIT-BIH Arrhythmia Detection with Weak Supervision,https://github.com/snorkel-team/snorkel,https://arxiv.org/pdf/2201.02936,,,
TimeSeriesExam-1,https://arxiv.org/pdf/2410.14752,https://github.com/moment-timeseries-foundation-model/TimeSeriesExam,,,
GIFT-Eval,https://arxiv.org/pdf/2410.10393,https://www.salesforce.com/blog/gift-eval-time-series-benchmark/,https://github.com/SalesforceAIResearch/gift-eval,,
context-is-key-moirai,https://arxiv.org/pdf/2410.18959,https://arxiv.org/pdf/2402.02592,https://github.com/ServiceNow/context-is-key-forecasting,,
context-is-key-nn5-chronos,https://arxiv.org/pdf/2410.18959,https://arxiv.org/pdf/2403.07815,https://github.com/ServiceNow/context-is-key-forecasting,,
Familiarity W/ Coding Resnet,https://arxiv.org/pdf/1512.03385,https://docs.pytorch.org/vision/main/models/resnet.html,,,
Familiarity W/ Coding STOMP,https://www.cs.ucr.edu/~eamonn/MatrixProfile.html,,,,
Feature enhancement tracking,,,,,
Feature enhancement reproducibility ,,,,,
Feature enhacement readability,,,,,
CSDI challenge (Easy),https://arxiv.org/pdf/2107.03502,https://github.com/ermongroup/CSDI,,,
CSDI challenge (Medium),https://arxiv.org/pdf/2107.03502,https://github.com/ermongroup/CSDI,,,
MOMENT Anomaly Score calculation ,https://arxiv.org/pdf/2402.03885,https://github.com/moment-timeseries-foundation-model/moment,,,
Time Series Library iTransformer block implementation,https://arxiv.org/pdf/2310.06625,https://github.com/thuml/Time-Series-Library,,,
Time Series Library Long Context Dataset,https://arxiv.org/pdf/2012.07436,https://github.com/thuml/Time-Series-Library,,,
UCR AD,https://www.cs.ucr.edu/~eamonn/time_series_data_2018/,https://arxiv.org/pdf/2009.13807,,,
